StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status
sho.27.67,elasmobranch,NA,NA,0,NA,NA,NA,2019,2018,NA,61.35,NA,GREY
sol.27.20-24,benthic,1.00869565217391,NA,434,NA,0.23,0.232,2019,2019,1.07769230769231,2802,2600,RED
sol.27.4,benthic,1.085,NA,11199,999,0.2,0.217,2019,2019,1.50245945945946,55591,37000,RED
sol.27.4,benthic,1.085,NA,11199,999,0.2,0.217,2019,2019,1.50245945945946,55591,37000,RED
sol.27.4,benthic,1.085,NA,11199,999,0.2,0.217,2019,2019,1.50245945945946,55591,37000,RED
sol.27.4,benthic,1.085,NA,11199,999,0.2,0.217,2019,2019,1.50245945945946,55591,37000,RED
sol.27.7d,benthic,0.783988865427928,2625,2314,311,0.553579290648609,0.434,2019,2018,1.32028372826648,1.233,0.933890173454547,GREEN
sol.27.7e,benthic,0.786206896551724,NA,1075,3,0.29,0.228,2019,2019,1.64,4756,2900,GREEN
spr.27.3a4,pelagic,NA,190052,190052,NA,NA,1.4,2019,2019,NA,248824,NA,GREY
spr.27.7de,pelagic,NA,NA,2252,NA,NA,0.11,2019,2018,NA,17091,NA,GREY
syc.27.3a47d,elasmobranch,NA,NA,2340,NA,NA,NA,2019,2018,NA,1.859,NA,GREY
syc.27.67a-ce-j,elasmobranch,NA,NA,3763,NA,NA,NA,2019,2018,NA,1.246,NA,GREY
syt.27.67,elasmobranch,NA,NA,NA,NA,NA,NA,2019,2018,NA,0.405,NA,GREY
tur.27.3a,benthic,NA,174,153,21,NA,NA,2019,2019,NA,0.33,NA,GREY
tur.27.4,benthic,0.994444444444444,3626,3140,486,0.36,0.358,2019,2019,1.34157091138045,8523,6353,GREEN
usk.27.3a45b6a7-912b,demersal,NA,NA,4411,96,NA,NA,2019,2018,NA,142.344,NA,GREEN
whb.27.1-91214,pelagic,1.23125,1709856,1709856,NA,0.32,0.394,2019,2019,2.47851066666667,5576649,2250000,RED
whg.27.3a,demersal,NA,1743,372,1371,NA,NA,2019,2018,NA,NA,NA,GREY
whg.27.47d,demersal,1.15697674418605,28083,16444,9896,0.172,0.199,2019,2019,0.980192912157785,163406,166708,RED
whg.27.7b-ce-k,demersal,1.19230769230769,NA,8773,1495,0.52,0.62,2019,2019,0.4978,17423,35000,RED
wit.27.3a47d,benthic,1.53896103896104,3209,3010,199,0.154,0.237,2019,2018,1.09947312961012,5217,4745,RED
